Input Data,,,,
t-2,t-1,t,,Output
째C,째C,째C,,째C
28.60,28.44,28.41,,27.85
28.44,28.41,27.85,,28.69
28.41,27.85,28.69,,28.02
27.85,28.69,28.02,,27.66
28.69,28.02,27.66,,28.49
28.02,27.66,28.49,,27.67
27.66,28.49,27.67,,27.72
28.49,27.67,27.72,,28.02
27.67,27.72,28.02,,28.53
27.72,28.02,28.53,,27.91
28.02,28.53,27.91,,28.46
28.53,27.91,28.46,,28.58
27.91,28.46,28.58,,27.81
28.46,28.58,27.81,,27.41
28.58,27.81,27.41,,27.58
27.81,27.41,27.58,,28.30
27.41,27.58,28.30,,27.76
27.58,28.30,27.76,,28.04
28.30,27.76,28.04,,28.03
27.76,28.04,28.03,,28.95
28.04,28.03,28.95,,28.60
28.03,28.95,28.60,,27.76
28.95,28.60,27.76,,28.97
28.60,27.76,28.97,,27.93
27.76,28.97,27.93,,28.22
28.97,27.93,28.22,,28.07
27.93,28.22,28.07,,27.84
28.22,28.07,27.84,,28.68
28.07,27.84,28.68,,28.52
27.84,28.68,28.52,,27.92
28.68,28.52,27.92,,28.22
28.52,27.92,28.22,,28.45
27.92,28.22,28.45,,27.41
28.22,28.45,27.41,,28.69
28.45,27.41,28.69,,27.33
27.41,28.69,27.33,,28.11
28.69,27.33,28.11,,28.29
27.33,28.11,28.29,,28.52
28.11,28.29,28.52,,28.81
28.29,28.52,28.81,,27.80
28.52,28.81,27.80,,28.39
28.81,27.80,28.39,,28.81
27.80,28.39,28.81,,28.14
28.39,28.81,28.14,,28.82
28.81,28.14,28.82,,28.16
28.14,28.82,28.16,,27.86
28.82,28.16,27.86,,28.21
28.16,27.86,28.21,,27.74
27.86,28.21,27.74,,28.36
28.21,27.74,28.36,,28.79
27.74,28.36,28.79,,28.28
28.36,28.79,28.28,,28.01
28.79,28.28,28.01,,27.54
28.28,28.01,27.54,,28.13
28.01,27.54,28.13,,29.01
27.54,28.13,29.01,,28.47
28.13,29.01,28.47,,28.50
29.01,28.47,28.50,,27.80
28.47,28.50,27.80,,28.25
28.50,27.80,28.25,,28.24
27.80,28.25,28.24,,28.03
28.25,28.24,28.03,,28.44
28.24,28.03,28.44,,28.25
28.03,28.44,28.25,,28.36
28.44,28.25,28.36,,28.24
28.25,28.36,28.24,,28.68
28.36,28.24,28.68,,27.86
28.24,28.68,27.86,,27.58
28.68,27.86,27.58,,28.70
27.86,27.58,28.70,,28.62
27.58,28.70,28.62,,27.89
28.70,28.62,27.89,,27.72
28.62,27.89,27.72,,27.86
27.89,27.72,27.86,,28.04
27.72,27.86,28.04,,28.42
27.86,28.04,28.42,,28.83
28.04,28.42,28.83,,28.25
28.42,28.83,28.25,,28.40
28.83,28.25,28.40,,28.20
28.25,28.40,28.20,,28.60
28.40,28.20,28.60,,28.43
28.20,28.60,28.43,,28.05
28.60,28.43,28.05,,28.19
28.43,28.05,28.19,,28.90
28.05,28.19,28.90,,28.37
28.19,28.90,28.37,,27.72
28.90,28.37,27.72,,28.11
28.37,27.72,28.11,,28.17
27.72,28.11,28.17,,28.40
28.11,28.17,28.40,,28.50
28.17,28.40,28.50,,28.56
28.40,28.50,28.56,,29.88
28.50,28.56,29.88,,28.08
28.56,29.88,28.08,,28.33
29.88,28.08,28.33,,28.88
28.08,28.33,28.88,,27.95
28.33,28.88,27.95,,28.02
28.88,27.95,28.02,,28.13
27.95,28.02,28.13,,28.77
28.02,28.13,28.77,,29.01
28.13,28.77,29.01,,27.94
28.77,29.01,27.94,,28.99
29.01,27.94,28.99,,28.13
27.94,28.99,28.13,,28.31
28.99,28.13,28.31,,28.10
28.13,28.31,28.10,,28.77
28.31,28.10,28.77,,28.51
28.10,28.77,28.51,,28.60
28.77,28.51,28.60,,28.91
28.51,28.60,28.91,,28.24
28.60,28.91,28.24,,29.42
28.91,28.24,29.42,,28.15
28.24,29.42,28.15,,29.70
29.42,28.15,29.70,,29.44
